id,id_a,id_b
1,27,32
2,2,10
3,10,19
4,18,37
5,10,18
6,30,47
7,39,41
8,9,18
9,2,39
10,30,44
11,3,26
12,12,41
13,39,49
14,2,20
15,10,30
16,27,29
17,8,13
18,10,48
19,9,16
20,24,41
21,24,39
22,17,24
23,24,37
24,29,47
25,40,42
26,24,46
27,17,29
28,5,6
29,32,35
30,2,4
31,17,22
32,27,36
33,11,33
34,6,9
35,10,33
36,10,23
37,2,41
38,10,49
39,10,39
40,7,39
41,10,18
42,14,35
43,19,29
44,10,32
45,1,32
46,6,21
47,10,44
48,5,12
49,19,33
50,19,39
51,27,31
52,26,48
53,18,39
54,7,34
55,10,47
56,17,36
57,4,49
58,32,34
59,13,35
60,8,17
61,2,8
62,22,38
63,42,46
64,3,9
65,10,11
66,2,19
67,36,44
68,22,33
69,33,39
70,32,41
71,22,24
72,2,6
73,40,44
74,34,48
75,8,44
76,10,20
77,30,40
78,10,32
79,31,41
80,10,26
81,2,19
82,29,47
83,10,11
84,30,36
85,4,10
86,32,39
87,15,24
88,17,20
89,10,27
90,4,30
91,33,38
92,33,40
93,34,41
94,29,37
95,42,44
96,19,40
97,17,31
98,9,18
99,21,48
100,10,45
101,10,39
102,19,49
103,17,50
104,34,41
105,2,47
106,4,39
107,22,27
108,7,33
109,10,11
110,24,44
111,10,33
112,4,17
113,8,10
114,40,44
115,2,10
116,37,45
117,14,41
118,10,24
119,37,39
120,4,17
121,10,33
122,14,22
123,24,30
124,4,40
125,3,24
126,10,24
127,33,42
128,10,32
129,18,41
130,11,47
131,27,29
132,32,40
133,1,44
134,14,41
135,10,27
136,10,19
137,33,42
138,23,50
139,26,42
140,8,44
141,7,33
142,17,19
143,17,42
144,10,49
145,19,48
146,19,43
147,8,22
148,27,35
149,29,48
150,10,48
151,13,37
152,19,24
153,27,50
154,10,42
155,2,19
156,39,44
157,12,46
158,4,10
159,24,48
160,21,34
161,24,47
162,27,32
163,6,48
164,7,34
165,40,44
166,23,48
167,10,47
168,2,6
169,10,14
170,27,41
171,15,17
172,1,42
173,2,17
174,30,36
175,37,40
176,9,27
177,39,40
178,17,19
179,10,35
180,10,48
181,4,37
182,19,29
183,14,34
184,26,29
185,26,31
186,20,34
187,14,37
188,32,33
189,5,22
190,10,40
191,8,33
192,40,41
193,34,42
194,39,40
195,32,50
196,17,23
197,17,40
198,4,49
199,5,30
200,39,40
201,35,40
202,29,46
203,26,44
204,10,20
205,4,49
206,8,32
207,10,46
208,1,21
209,29,47
210,5,41
211,40,46
212,1,30
213,4,35
214,14,41
215,17,40
216,22,32
217,10,32
218,37,40
219,10,24
220,2,49
221,1,37
222,10,17
223,3,9
224,4,33
225,34,41
226,2,10
227,5,10
228,5,26
229,33,34
230,11,23
231,39,41
232,10,41
233,10,16
234,10,39
235,10,48
236,20,45
237,37,42
238,2,14
239,10,41
240,2,24
241,3,30
242,22,33
243,2,8
244,35,41
245,41,45
246,26,27
247,2,38
248,34,41
249,32,38
250,17,39
251,6,15
252,32,47
253,37,40
254,9,23
255,6,48
256,5,19
257,17,36
258,11,44
259,2,30
260,5,10
261,32,41
262,10,32
263,30,42
264,40,44
265,19,29
266,14,49
267,33,35
268,10,30
269,1,12
270,4,41
271,10,16
272,18,42
273,2,50
274,11,42
275,5,49
276,11,35
277,22,35
278,32,44
279,35,39
280,10,42
281,27,31
282,10,39
283,11,33
284,22,27
285,24,35
286,10,34
287,10,22
288,37,40
289,2,22
290,22,39
291,17,40
292,10,49
293,18,32
294,10,22
295,3,42
296,21,36
297,20,28
298,11,48
299,17,40
300,1,19
301,10,41
302,41,42
303,10,49
304,6,45
305,10,24
306,14,40
307,33,40
308,27,37
309,14,42
310,4,49
311,15,26
312,8,46
313,9,30
314,2,41
315,12,42
316,26,44
317,40,49
318,32,39
319,3,40
320,3,30
321,6,22
322,18,32
323,10,17
324,24,40
325,16,45
326,28,41
327,9,10
328,31,50
329,30,42
330,10,17
331,10,14
332,35,41
333,27,36
334,4,7
335,42,44
336,13,42
337,33,39
338,8,13
339,39,40
340,27,29
